Finish as fast as possible
Someone records the activity
playlist of songs only heard of by suggester (all contribute)
backwards baseball caps
business casual
1990s and 2000s rock music
twitch live music
93.5 Radio Station
Specific goals
Team competition
Patrick Swayze ghost someone through an activity
Bully Jacob Jar
Cowboy Theme
Wizard Theme
Thrift your out fit
